integrated_index,integrated_user_id,integrated_time_of_day,integrated_category_id,integrated_rating
0,876,0,17030,1.6
1,824,1,13223,5.0
2,237,0,13042,4.6
3,459,1,17118,2.1
4,206,2,13345,4.2
5,219,3,10009,3.4
6,689,1,13095,3.3
7,113,1,11010,4.7
8,342,2,17037,2.5
9,388,3,11031,2.2
10,833,3,17137,2.9
11,759,1,11028,4.0
12,597,0,10044,4.6
13,712,1,13032,3.4
14,182,2,13298,3.8
15,362,2,17102,3.8
16,2,0,13003,2.8
17,384,0,10055,3.5
18,442,0,13286,3.2
19,174,0,18013,2.2
20,571,2,11153,3.8
21,602,2,19026,2.8
22,65,1,17058,1.0
23,89,1,13099,2.3
24,160,2,15015,2.1
25,927,1,17091,3.1
26,568,0,13016,2.9
27,646,0,10039,3.1
28,800,1,17015,1.2
29,746,0,13054,4.6
30,679,1,13314,4.6
31,802,0,13027,4.6
32,824,1,13095,2.7
33,280,0,11043,4.4
34,859,0,17094,4.2
35,146,0,13062,2.2
36,571,0,17019,2.6
37,287,3,13054,2.1
38,252,1,17100,1.2
39,908,1,13288,1.3
40,629,3,17080,1.4
41,237,1,17137,3.4
42,635,2,19044,3.2
43,817,2,13378,2.0
44,87,2,11118,2.7
45,257,1,17076,4.6
46,965,2,18041,1.8
47,713,2,18046,2.9
48,781,0,11107,3.6
49,358,2,19006,4.6
50,520,1,18074,2.3
51,614,3,19011,2.8
52,932,2,11078,2.2
53,488,1,13224,2.0
54,991,3,13288,3.9
55,476,1,11094,1.3
56,407,3,10045,4.4
57,297,2,15036,4.8
58,298,1,11146,2.7
59,823,0,11110,2.3
60,179,0,18018,2.5
61,160,3,13223,3.6
62,40,0,13025,2.4
63,982,2,11178,2.7
64,536,3,11064,3.7
65,211,2,13068,4.4
66,32,0,19002,3.2
67,482,2,17086,4.6
68,170,2,11072,1.5
69,992,0,18047,2.7
70,362,3,13215,2.7
71,326,1,11002,2.3
72,482,3,17098,1.0
73,469,0,13011,1.2
74,102,3,11125,1.6
75,952,2,11032,4.5
76,925,0,13040,2.9
77,15,3,15031,3.3
78,169,2,11006,1.3
79,98,1,19012,3.5
80,287,1,17105,2.9
81,357,3,19010,2.5
82,555,2,11014,3.4
83,937,0,13220,2.6
84,148,1,17095,2.4
85,277,1,13055,2.5
86,675,1,10027,2.8
87,625,2,11072,4.8
88,57,3,13348,4.1
89,182,3,11009,1.9
90,175,2,17108,4.5
91,282,0,18026,1.1
92,33,1,11155,2.5
93,4,3,18065,1.4
94,679,2,14002,3.0
95,7,1,14011,3.1
96,22,2,11039,3.3
97,127,0,17044,2.4
98,924,0,13213,3.0
99,263,3,11174,1.2
100,126,3,17027,4.1
101,698,0,17134,3.3
102,809,3,17020,1.4
103,433,2,13079,1.1
104,624,0,15024,2.9
105,626,1,14010,1.1
106,135,0,10052,1.6
107,121,0,13036,3.8
108,926,3,19011,1.1
109,436,3,11063,3.7
110,103,0,19022,1.6
111,933,1,13265,2.6
112,49,3,14015,2.3
113,686,3,11021,3.7
114,479,2,13167,4.1
115,103,3,17132,4.7
116,673,2,13003,3.0
117,582,2,17063,3.4
118,699,2,15054,4.7
119,901,0,11100,2.6
120,877,1,13014,3.3
121,97,1,17024,4.6
122,709,1,11153,4.5
123,42,2,11103,1.1
124,160,1,17046,2.8
125,926,2,19018,1.9
126,642,1,13040,3.7
127,489,0,13139,2.6
128,992,2,13023,4.8
129,208,0,11164,2.3
130,77,3,19012,1.0
131,569,3,11040,3.0
132,808,1,11125,3.9
133,671,0,13095,4.3
134,530,2,17113,1.7
135,589,1,11017,3.5
136,289,1,10048,4.6
137,63,2,11130,4.0
138,677,3,13146,2.2
139,215,1,13386,2.1
140,199,0,15038,2.7
141,55,1,11177,3.9
142,815,3,17090,3.9
143,924,1,18043,1.5
144,939,2,18040,1.4
145,588,0,17087,2.6
146,306,2,10014,1.7
147,70,2,19044,4.0
148,600,3,13068,3.8
149,335,0,11084,4.6
150,496,1,13223,2.5
151,211,2,11017,3.9
152,280,1,13303,3.2
153,870,0,18003,3.3
154,344,3,13346,2.7
155,875,1,17023,2.5
156,57,0,18060,4.2
157,624,1,15016,3.4
158,747,3,15050,4.7
159,970,2,13027,4.0
160,871,3,15015,3.0
161,161,3,17100,1.5
162,924,0,17122,3.1
163,340,2,17039,2.7
164,399,0,11006,4.3
165,104,1,11056,2.2
166,162,3,18036,4.4
167,202,3,18037,4.4
168,880,1,11030,2.0
169,294,0,13234,3.8
